title,steam_appid,launch,peak_month,peak_ccu,latest_month,latest_peak_ccu,retention_vs_peak_pct,source
Throne and Liberty,2429640,2024-10-01,2024-10,333393,2026-08(直近30日),8439,2.5,steamcharts/2429640
Blue Protocol: Star Resonance,3681810,2025-10(Steam),2025-10,83331,2026-08(直近30日),1051,1.3,steamcharts/3681810
Dune: Awakening,1172710,2025-06-10,2025-06,189126,2026-08(直近30日),8177,4.3,steamcharts/1172710
Monster Hunter Wilds,2246340,2025-02-28,2025-03,1179869,2026-08(直近30日),26984,2.3,steamcharts/2246340
New World: Aeternum,1063730,2024-10-15(Aeternum),2024-10,61364,2026-08(直近30日),722,1.2,steamcharts/1063730
FINAL FANTASY XIV (参考),39210,2024-07-02(7.0),2024-06,91883,2026-07,30933,33.7,steamcharts/39210
