event,date,venue,ticket_type,price,currency,tax_fee_note,capacity_disclosed,source_url,grade
ファンフェス2024 in 東京,2024-01-07..08,東京ドーム,2日通し券,19800,JPY,+手数料780円,非開示,https://ff14sns.blog.jp/archives/21722687.html,二次
ファンフェス2024 in 東京,2024-01-07..08,東京ドーム,ステージ観覧券(各日),4400,JPY,+手数料,非開示,https://ff14sns.blog.jp/archives/21722687.html,二次
ファンフェス2024 in 東京,2024-01-07..08,東京ドーム,アリーナ席チケット(各日),3850,JPY,+手数料,非開示,https://ff14sns.blog.jp/archives/21722687.html,二次
Fan Festival 2026 in Anaheim,2026-04-24..25,Anaheim Convention Center,Standard(2-day),249.99,USD,$264.99 after fees。1人2枚まで,非開示,https://fanfest-na.finalfantasyxiv.com/2026/en-us/news/announcing-ticket-details,一次
Fan Festival 2026 in Anaheim,2026-04-24..25,-,Live performance stream (StreamPass/FanStream),,USD,価格は当該告知に未記載,非開示,https://na.finalfantasyxiv.com/lodestone/topics/detail/c8677e1bffb593d629a551c3a035eedc0cc94644,一次
Fan Festival 2026 in Berlin,2026-07-25..26,"Messe Berlin, hub27",Standard(2-day),224.99,EUR,taxes and fees included。1人2枚まで,非開示,https://fanfest-eu.finalfantasyxiv.com/2026/en/news/announcing-ticket-details,一次
ファンフェス2026 in 東京,2026-10-31..11-01,幕張メッセ 国際展示場ホール1-7,2日通し券,24200,JPY,別途手数料(SNS上では計25050円との記載あり),非開示,https://game.watch.impress.co.jp/docs/news/2102719.html,準一次
ファンフェス2026 in 東京,2026-10-31..11-01,幕張メッセ 国際展示場ホール1-7,指定席エリアチケット(各日),4400,JPY,2日通し券当選が前提,非開示,https://game.watch.impress.co.jp/docs/news/2102719.html,準一次
